Loading miniconda version 22.11.1-1
Sequential(
  (0): Linear(in_features=3, out_features=32, bias=True)
  (1): GELU(approximate='none')
  (2): Linear(in_features=32, out_features=32, bias=True)
  (3): GELU(approximate='none')
  (4): Linear(in_features=32, out_features=32, bias=True)
  (5): GELU(approximate='none')
  (6): Linear(in_features=32, out_features=32, bias=True)
  (7): GELU(approximate='none')
  (8): Linear(in_features=32, out_features=32, bias=True)
  (9): GELU(approximate='none')
  (10): Linear(in_features=32, out_features=32, bias=True)
  (11): GELU(approximate='none')
  (12): Linear(in_features=32, out_features=32, bias=True)
  (13): GELU(approximate='none')
  (14): Linear(in_features=32, out_features=2, bias=True)
)
tensor(5.0159, grad_fn=<MeanBackward1>) 0
tensor(1.1430, grad_fn=<MeanBackward1>) 9100
tensor(2.0440, grad_fn=<MeanBackward1>) 9200
tensor(1.5976, grad_fn=<MeanBackward1>) 9300
tensor(1.5817, grad_fn=<MeanBackward1>) 9400
tensor(0.9419, grad_fn=<MeanBackward1>) 9500
tensor(3.6273, grad_fn=<MeanBackward1>) 9600
tensor(1.3136, grad_fn=<MeanBackward1>) 9700
tensor(1.4277, grad_fn=<MeanBackward1>) 9800
tensor(4.6217, grad_fn=<MeanBackward1>) 9900
tensor(2.0371, grad_fn=<MeanBackward1>) 10000
tensor(1.7847, grad_fn=<MeanBackward1>) 10100
tensor(1.5001, grad_fn=<MeanBackward1>) 10200
tensor(1.2701, grad_fn=<MeanBackward1>) 10300
tensor(1.6421, grad_fn=<MeanBackward1>) 10400
tensor(1.0096, grad_fn=<MeanBackward1>) 10500
tensor(1.0180, grad_fn=<MeanBackward1>) 10600
tensor(1.0400, grad_fn=<MeanBackward1>) 10700
tensor(2.5188, grad_fn=<MeanBackward1>) 10800
tensor(1.2508, grad_fn=<MeanBackward1>) 10900
tensor(2.6582, grad_fn=<MeanBackward1>) 11000
tensor(1.8673, grad_fn=<MeanBackward1>) 11100
tensor(1.2404, grad_fn=<MeanBackward1>) 11200
tensor(0.9161, grad_fn=<MeanBackward1>) 11300
tensor(1.6368, grad_fn=<MeanBackward1>) 11400
tensor(0.7913, grad_fn=<MeanBackward1>) 11500
tensor(1.0091, grad_fn=<MeanBackward1>) 11600
tensor(1.1704, grad_fn=<MeanBackward1>) 11700
tensor(2.1574, grad_fn=<MeanBackward1>) 11800
tensor(1.2038, grad_fn=<MeanBackward1>) 11900
tensor(1.1675, grad_fn=<MeanBackward1>) 12000
tensor(1.6741, grad_fn=<MeanBackward1>) 12100
tensor(1.6707, grad_fn=<MeanBackward1>) 12200
tensor(1.1979, grad_fn=<MeanBackward1>) 12300
tensor(1.4199, grad_fn=<MeanBackward1>) 12400
tensor(1.5992, grad_fn=<MeanBackward1>) 12500
tensor(0.7438, grad_fn=<MeanBackward1>) 12600
tensor(1.1304, grad_fn=<MeanBackward1>) 12700
tensor(1.4644, grad_fn=<MeanBackward1>) 12800
tensor(0.9002, grad_fn=<MeanBackward1>) 12900
tensor(2.2941, grad_fn=<MeanBackward1>) 13000
tensor(6.1046, grad_fn=<MeanBackward1>) 13100
tensor(1.5708, grad_fn=<MeanBackward1>) 13200
tensor(1.1561, grad_fn=<MeanBackward1>) 13300
tensor(1.2871, grad_fn=<MeanBackward1>) 13400
tensor(2.2542, grad_fn=<MeanBackward1>) 13500
tensor(1.3463, grad_fn=<MeanBackward1>) 13600
tensor(1.1856, grad_fn=<MeanBackward1>) 13700
tensor(1.9001, grad_fn=<MeanBackward1>) 13800
tensor(1.6274, grad_fn=<MeanBackward1>) 13900
tensor(1.2882, grad_fn=<MeanBackward1>) 14000
tensor(1.3759, grad_fn=<MeanBackward1>) 14100
tensor(1.9344, grad_fn=<MeanBackward1>) 14200
tensor(2.2989, grad_fn=<MeanBackward1>) 14300
tensor(2.4078, grad_fn=<MeanBackward1>) 14400
tensor(1.1213, grad_fn=<MeanBackward1>) 14500
tensor(3.2429, grad_fn=<MeanBackward1>) 14600
tensor(1.2809, grad_fn=<MeanBackward1>) 14700
tensor(0.8897, grad_fn=<MeanBackward1>) 14800
tensor(1.5900, grad_fn=<MeanBackward1>) 14900
tensor(0.9611, grad_fn=<MeanBackward1>) 15000
tensor(1.0209, grad_fn=<MeanBackward1>) 15100
tensor(1.8559, grad_fn=<MeanBackward1>) 15200
tensor(1.4118, grad_fn=<MeanBackward1>) 15300
tensor(11.3415, grad_fn=<MeanBackward1>) 15400
tensor(1.0065, grad_fn=<MeanBackward1>) 15500
tensor(1.6641, grad_fn=<MeanBackward1>) 15600
tensor(1.7747, grad_fn=<MeanBackward1>) 15700
tensor(1.0121, grad_fn=<MeanBackward1>) 15800
tensor(0.8225, grad_fn=<MeanBackward1>) 15900
tensor(0.8148, grad_fn=<MeanBackward1>) 16000
tensor(2.2193, grad_fn=<MeanBackward1>) 16100
tensor(1.3978, grad_fn=<MeanBackward1>) 16200
tensor(2.1237, grad_fn=<MeanBackward1>) 16300
tensor(1.8129, grad_fn=<MeanBackward1>) 16400
tensor(0.9501, grad_fn=<MeanBackward1>) 16500
tensor(1.5574, grad_fn=<MeanBackward1>) 16600
tensor(10.8289, grad_fn=<MeanBackward1>) 16700
tensor(1.9960, grad_fn=<MeanBackward1>) 16800
tensor(1.3811, grad_fn=<MeanBackward1>) 16900
tensor(0.7559, grad_fn=<MeanBackward1>) 17000
tensor(1.5173, grad_fn=<MeanBackward1>) 17100
tensor(1.6160, grad_fn=<MeanBackward1>) 17200
tensor(1.1062, grad_fn=<MeanBackward1>) 17300
tensor(10.1865, grad_fn=<MeanBackward1>) 17400
tensor(2.0582, grad_fn=<MeanBackward1>) 17500
tensor(0.9645, grad_fn=<MeanBackward1>) 17600
tensor(3.3907, grad_fn=<MeanBackward1>) 17700
tensor(1.3436, grad_fn=<MeanBackward1>) 17800
tensor(2.3379, grad_fn=<MeanBackward1>) 17900
tensor(0.7567, grad_fn=<MeanBackward1>) 18000
tensor(1.6655, grad_fn=<MeanBackward1>) 18100
tensor(1.6276, grad_fn=<MeanBackward1>) 18200
tensor(1.1131, grad_fn=<MeanBackward1>) 18300
tensor(0.7186, grad_fn=<MeanBackward1>) 18400
tensor(3.4002, grad_fn=<MeanBackward1>) 18500
tensor(1.4624, grad_fn=<MeanBackward1>) 18600
tensor(2.0402, grad_fn=<MeanBackward1>) 18700
tensor(0.7756, grad_fn=<MeanBackward1>) 18800
tensor(0.8416, grad_fn=<MeanBackward1>) 18900
tensor(1.2411, grad_fn=<MeanBackward1>) 19000
tensor(2.2484, grad_fn=<MeanBackward1>) 19100
tensor(0.7434, grad_fn=<MeanBackward1>) 19200
tensor(1.2106, grad_fn=<MeanBackward1>) 19300
tensor(2.0608, grad_fn=<MeanBackward1>) 19400
tensor(2.5384, grad_fn=<MeanBackward1>) 19500
tensor(1.5651, grad_fn=<MeanBackward1>) 19600
tensor(2.9767, grad_fn=<MeanBackward1>) 19700
tensor(1.1917, grad_fn=<MeanBackward1>) 19800
tensor(1.4158, grad_fn=<MeanBackward1>) 19900
tensor(1.3825, grad_fn=<MeanBackward1>) 20000
tensor(0.7617, grad_fn=<MeanBackward1>) 20100
tensor(1.3964, grad_fn=<MeanBackward1>) 20200
tensor(2.0990, grad_fn=<MeanBackward1>) 20300
tensor(1.5406, grad_fn=<MeanBackward1>) 20400
tensor(1.2922, grad_fn=<MeanBackward1>) 20500
tensor(1.6363, grad_fn=<MeanBackward1>) 20600
tensor(1.8446, grad_fn=<MeanBackward1>) 20700
tensor(2.3376, grad_fn=<MeanBackward1>) 20800
tensor(7.4483, grad_fn=<MeanBackward1>) 20900
tensor(1.2863, grad_fn=<MeanBackward1>) 21000
tensor(0.7998, grad_fn=<MeanBackward1>) 21100
tensor(1.8043, grad_fn=<MeanBackward1>) 21200
tensor(2.2377, grad_fn=<MeanBackward1>) 21300
tensor(1.9005, grad_fn=<MeanBackward1>) 21400
tensor(1.1509, grad_fn=<MeanBackward1>) 21500
tensor(0.8192, grad_fn=<MeanBackward1>) 21600
tensor(1.1630, grad_fn=<MeanBackward1>) 21700
tensor(1.5503, grad_fn=<MeanBackward1>) 21800
tensor(1.1360, grad_fn=<MeanBackward1>) 21900
tensor(1.3934, grad_fn=<MeanBackward1>) 22000
tensor(1.6580, grad_fn=<MeanBackward1>) 22100
tensor(1.6644, grad_fn=<MeanBackward1>) 22200
tensor(0.7595, grad_fn=<MeanBackward1>) 22300
tensor(1.7579, grad_fn=<MeanBackward1>) 22400
tensor(1.5053, grad_fn=<MeanBackward1>) 22500
tensor(1.1718, grad_fn=<MeanBackward1>) 22600
tensor(0.7505, grad_fn=<MeanBackward1>) 22700
tensor(0.8676, grad_fn=<MeanBackward1>) 22800
tensor(3.3537, grad_fn=<MeanBackward1>) 22900
tensor(1.6781, grad_fn=<MeanBackward1>) 23000
tensor(2.2902, grad_fn=<MeanBackward1>) 23100
tensor(1.0935, grad_fn=<MeanBackward1>) 23200
tensor(1.1060, grad_fn=<MeanBackward1>) 23300
tensor(1.0665, grad_fn=<MeanBackward1>) 23400
tensor(1.9340, grad_fn=<MeanBackward1>) 23500
tensor(2.8039, grad_fn=<MeanBackward1>) 23600
tensor(1.3365, grad_fn=<MeanBackward1>) 23700
tensor(1.0016, grad_fn=<MeanBackward1>) 23800
tensor(1.3608, grad_fn=<MeanBackward1>) 23900
tensor(1.1885, grad_fn=<MeanBackward1>) 24000
tensor(1.2339, grad_fn=<MeanBackward1>) 24100
tensor(1.1520, grad_fn=<MeanBackward1>) 24200
tensor(1.8168, grad_fn=<MeanBackward1>) 24300
tensor(0.9473, grad_fn=<MeanBackward1>) 24400
tensor(1.1354, grad_fn=<MeanBackward1>) 24500
tensor(0.6097, grad_fn=<MeanBackward1>) 24600
tensor(0.6901, grad_fn=<MeanBackward1>) 24700
tensor(2.1297, grad_fn=<MeanBackward1>) 24800
tensor(1.9364, grad_fn=<MeanBackward1>) 24900
tensor(3.3897, grad_fn=<MeanBackward1>) 25000
tensor(1.2730, grad_fn=<MeanBackward1>) 25100
tensor(0.9642, grad_fn=<MeanBackward1>) 25200
tensor(2.4380, grad_fn=<MeanBackward1>) 25300
tensor(1.0952, grad_fn=<MeanBackward1>) 25400
tensor(1.3968, grad_fn=<MeanBackward1>) 25500
tensor(1.6319, grad_fn=<MeanBackward1>) 25600
tensor(1.2963, grad_fn=<MeanBackward1>) 25700
tensor(0.9874, grad_fn=<MeanBackward1>) 25800
tensor(0.8953, grad_fn=<MeanBackward1>) 25900
tensor(1.5805, grad_fn=<MeanBackward1>) 26000
tensor(0.9710, grad_fn=<MeanBackward1>) 26100
tensor(0.8180, grad_fn=<MeanBackward1>) 26200
tensor(1.9602, grad_fn=<MeanBackward1>) 26300
tensor(1.3875, grad_fn=<MeanBackward1>) 26400
tensor(0.9274, grad_fn=<MeanBackward1>) 26500
tensor(1.3832, grad_fn=<MeanBackward1>) 26600
tensor(1.4218, grad_fn=<MeanBackward1>) 26700
tensor(1.9551, grad_fn=<MeanBackward1>) 26800
tensor(0.9303, grad_fn=<MeanBackward1>) 26900
tensor(1.7206, grad_fn=<MeanBackward1>) 27000
tensor(1.0387, grad_fn=<MeanBackward1>) 27100
tensor(0.9152, grad_fn=<MeanBackward1>) 27200
tensor(1.5962, grad_fn=<MeanBackward1>) 27300
tensor(0.8232, grad_fn=<MeanBackward1>) 27400
tensor(1.6210, grad_fn=<MeanBackward1>) 27500
tensor(1.2471, grad_fn=<MeanBackward1>) 27600
tensor(1.0756, grad_fn=<MeanBackward1>) 27700
tensor(1.7543, grad_fn=<MeanBackward1>) 27800
tensor(1.6260, grad_fn=<MeanBackward1>) 27900
tensor(3.9050, grad_fn=<MeanBackward1>) 28000
tensor(0.8810, grad_fn=<MeanBackward1>) 28100
tensor(1.4170, grad_fn=<MeanBackward1>) 28200
tensor(1.1993, grad_fn=<MeanBackward1>) 28300
tensor(1.0525, grad_fn=<MeanBackward1>) 28400
tensor(1.0980, grad_fn=<MeanBackward1>) 28500
tensor(0.9032, grad_fn=<MeanBackward1>) 28600
tensor(0.9217, grad_fn=<MeanBackward1>) 28700
tensor(1.1403, grad_fn=<MeanBackward1>) 28800
tensor(3.2032, grad_fn=<MeanBackward1>) 28900
tensor(5.0519, grad_fn=<MeanBackward1>) 29000
tensor(0.7224, grad_fn=<MeanBackward1>) 29100
tensor(1.0519, grad_fn=<MeanBackward1>) 29200
tensor(2.0472, grad_fn=<MeanBackward1>) 29300
tensor(2.2482, grad_fn=<MeanBackward1>) 29400
tensor(1.2978, grad_fn=<MeanBackward1>) 29500
tensor(1.0337, grad_fn=<MeanBackward1>) 29600
tensor(1.2421, grad_fn=<MeanBackward1>) 29700
tensor(1.5895, grad_fn=<MeanBackward1>) 29800
tensor(2.7459, grad_fn=<MeanBackward1>) 29900
tensor(2.8187, grad_fn=<MeanBackward1>) 30000
tensor(1.5166, grad_fn=<MeanBackward1>) 30100
tensor(1.1826, grad_fn=<MeanBackward1>) 30200
tensor(1.7831, grad_fn=<MeanBackward1>) 30300
tensor(1.3459, grad_fn=<MeanBackward1>) 30400
tensor(0.9741, grad_fn=<MeanBackward1>) 30500
tensor(1.3004, grad_fn=<MeanBackward1>) 30600
tensor(7.7530, grad_fn=<MeanBackward1>) 30700
tensor(2.2908, grad_fn=<MeanBackward1>) 30800
tensor(4.2624, grad_fn=<MeanBackward1>) 30900
tensor(10.3920, grad_fn=<MeanBackward1>) 31000
tensor(0.8706, grad_fn=<MeanBackward1>) 31100
tensor(1.1038, grad_fn=<MeanBackward1>) 31200
tensor(2.4865, grad_fn=<MeanBackward1>) 31300
tensor(0.7883, grad_fn=<MeanBackward1>) 31400
tensor(1.4160, grad_fn=<MeanBackward1>) 31500
tensor(0.9719, grad_fn=<MeanBackward1>) 31600
tensor(0.8151, grad_fn=<MeanBackward1>) 31700
tensor(1.3792, grad_fn=<MeanBackward1>) 31800
tensor(2.4465, grad_fn=<MeanBackward1>) 31900
tensor(1.9781, grad_fn=<MeanBackward1>) 32000
tensor(1.5262, grad_fn=<MeanBackward1>) 32100
tensor(1.4322, grad_fn=<MeanBackward1>) 32200
tensor(0.8640, grad_fn=<MeanBackward1>) 32300
tensor(1.7566, grad_fn=<MeanBackward1>) 32400
tensor(1.4266, grad_fn=<MeanBackward1>) 32500
tensor(1.2243, grad_fn=<MeanBackward1>) 32600
tensor(0.9423, grad_fn=<MeanBackward1>) 32700
tensor(1.3475, grad_fn=<MeanBackward1>) 32800
tensor(1.3000, grad_fn=<MeanBackward1>) 32900
tensor(1.4639, grad_fn=<MeanBackward1>) 33000
tensor(1.4893, grad_fn=<MeanBackward1>) 33100
tensor(0.9595, grad_fn=<MeanBackward1>) 33200
tensor(0.9149, grad_fn=<MeanBackward1>) 33300
tensor(1.3328, grad_fn=<MeanBackward1>) 33400
tensor(0.9078, grad_fn=<MeanBackward1>) 33500
tensor(4.0707, grad_fn=<MeanBackward1>) 33600
tensor(1.5922, grad_fn=<MeanBackward1>) 33700
tensor(1.1674, grad_fn=<MeanBackward1>) 33800
tensor(0.9916, grad_fn=<MeanBackward1>) 33900
tensor(1.5751, grad_fn=<MeanBackward1>) 34000
tensor(2.1794, grad_fn=<MeanBackward1>) 34100
tensor(2.6883, grad_fn=<MeanBackward1>) 34200
tensor(1.2277, grad_fn=<MeanBackward1>) 34300
tensor(0.9406, grad_fn=<MeanBackward1>) 34400
tensor(1.8489, grad_fn=<MeanBackward1>) 34500
tensor(1.9978, grad_fn=<MeanBackward1>) 34600
tensor(1.2914, grad_fn=<MeanBackward1>) 34700
tensor(1.9499, grad_fn=<MeanBackward1>) 34800
tensor(3.2837, grad_fn=<MeanBackward1>) 34900
tensor(1.7174, grad_fn=<MeanBackward1>) 35000
tensor(3.2047, grad_fn=<MeanBackward1>) 35100
tensor(1.0116, grad_fn=<MeanBackward1>) 35200
tensor(1.4388, grad_fn=<MeanBackward1>) 35300
tensor(1.2026, grad_fn=<MeanBackward1>) 35400
tensor(1.7016, grad_fn=<MeanBackward1>) 35500
tensor(3.9348, grad_fn=<MeanBackward1>) 35600
tensor(1.8067, grad_fn=<MeanBackward1>) 35700
tensor(1.1267, grad_fn=<MeanBackward1>) 35800
tensor(1.1619, grad_fn=<MeanBackward1>) 35900
tensor(1.0025, grad_fn=<MeanBackward1>) 36000
tensor(4.4415, grad_fn=<MeanBackward1>) 36100
tensor(1.9734, grad_fn=<MeanBackward1>) 36200
tensor(0.7168, grad_fn=<MeanBackward1>) 36300
tensor(1.1373, grad_fn=<MeanBackward1>) 36400
tensor(1.1549, grad_fn=<MeanBackward1>) 36500
tensor(1.3946, grad_fn=<MeanBackward1>) 36600
tensor(1.5086, grad_fn=<MeanBackward1>) 36700
tensor(1.0820, grad_fn=<MeanBackward1>) 36800
tensor(1.0069, grad_fn=<MeanBackward1>) 36900
tensor(1.2587, grad_fn=<MeanBackward1>) 37000
tensor(1.2259, grad_fn=<MeanBackward1>) 37100
tensor(3.4980, grad_fn=<MeanBackward1>) 37200
tensor(1.7893, grad_fn=<MeanBackward1>) 37300
tensor(1.3662, grad_fn=<MeanBackward1>) 37400
tensor(4.5406, grad_fn=<MeanBackward1>) 37500
tensor(1.2535, grad_fn=<MeanBackward1>) 37600
tensor(1.0631, grad_fn=<MeanBackward1>) 37700
tensor(1.0009, grad_fn=<MeanBackward1>) 37800
tensor(1.0316, grad_fn=<MeanBackward1>) 37900
tensor(1.1855, grad_fn=<MeanBackward1>) 38000
tensor(1.2017, grad_fn=<MeanBackward1>) 38100
tensor(1.8501, grad_fn=<MeanBackward1>) 38200
tensor(1.5129, grad_fn=<MeanBackward1>) 38300
tensor(1.2834, grad_fn=<MeanBackward1>) 38400
tensor(1.7452, grad_fn=<MeanBackward1>) 38500
tensor(1.3197, grad_fn=<MeanBackward1>) 38600
tensor(1.3149, grad_fn=<MeanBackward1>) 38700
tensor(1.4770, grad_fn=<MeanBackward1>) 38800
tensor(1.3349, grad_fn=<MeanBackward1>) 38900
tensor(1.0049, grad_fn=<MeanBackward1>) 39000
tensor(1.8393, grad_fn=<MeanBackward1>) 39100
tensor(0.9616, grad_fn=<MeanBackward1>) 39200
tensor(1.0280, grad_fn=<MeanBackward1>) 39300
tensor(1.1688, grad_fn=<MeanBackward1>) 39400
tensor(1.1175, grad_fn=<MeanBackward1>) 39500
tensor(2.0652, grad_fn=<MeanBackward1>) 39600
tensor(5.2479, grad_fn=<MeanBackward1>) 39700
tensor(1.5505, grad_fn=<MeanBackward1>) 39800
tensor(1.1182, grad_fn=<MeanBackward1>) 39900
tensor(3.2350, grad_fn=<MeanBackward1>) 40000
tensor(1.9875, grad_fn=<MeanBackward1>) 40100
tensor(0.9913, grad_fn=<MeanBackward1>) 40200
tensor(1.0944, grad_fn=<MeanBackward1>) 40300
tensor(1.7195, grad_fn=<MeanBackward1>) 40400
tensor(0.8815, grad_fn=<MeanBackward1>) 40500
tensor(2.8348, grad_fn=<MeanBackward1>) 40600
tensor(1.9302, grad_fn=<MeanBackward1>) 40700
tensor(1.9944, grad_fn=<MeanBackward1>) 40800
tensor(0.8214, grad_fn=<MeanBackward1>) 40900
tensor(0.9406, grad_fn=<MeanBackward1>) 41000
tensor(1.1056, grad_fn=<MeanBackward1>) 41100
tensor(0.9831, grad_fn=<MeanBackward1>) 41200
tensor(4.4624, grad_fn=<MeanBackward1>) 41300
tensor(1.5003, grad_fn=<MeanBackward1>) 41400
tensor(1.0357, grad_fn=<MeanBackward1>) 41500
tensor(1.2505, grad_fn=<MeanBackward1>) 41600
tensor(1.5901, grad_fn=<MeanBackward1>) 41700
tensor(1.7860, grad_fn=<MeanBackward1>) 41800
tensor(4.6197, grad_fn=<MeanBackward1>) 41900
tensor(1.4170, grad_fn=<MeanBackward1>) 42000
tensor(2.2266, grad_fn=<MeanBackward1>) 42100
tensor(2.2443, grad_fn=<MeanBackward1>) 42200
tensor(1.1059, grad_fn=<MeanBackward1>) 42300
tensor(1.7698, grad_fn=<MeanBackward1>) 42400
tensor(1.4009, grad_fn=<MeanBackward1>) 42500
tensor(2.4757, grad_fn=<MeanBackward1>) 42600
tensor(0.9264, grad_fn=<MeanBackward1>) 42700
tensor(1.1229, grad_fn=<MeanBackward1>) 42800
tensor(0.9550, grad_fn=<MeanBackward1>) 42900
tensor(1.4356, grad_fn=<MeanBackward1>) 43000
tensor(1.3570, grad_fn=<MeanBackward1>) 43100
tensor(1.0464, grad_fn=<MeanBackward1>) 43200
tensor(1.4454, grad_fn=<MeanBackward1>) 43300
tensor(3.4627, grad_fn=<MeanBackward1>) 43400
tensor(1.1947, grad_fn=<MeanBackward1>) 43500
tensor(1.3480, grad_fn=<MeanBackward1>) 43600
tensor(0.9786, grad_fn=<MeanBackward1>) 43700
tensor(2.1481, grad_fn=<MeanBackward1>) 43800
tensor(2.8118, grad_fn=<MeanBackward1>) 43900
tensor(1.7117, grad_fn=<MeanBackward1>) 44000
tensor(1.1664, grad_fn=<MeanBackward1>) 44100
tensor(1.0822, grad_fn=<MeanBackward1>) 44200
tensor(1.2095, grad_fn=<MeanBackward1>) 44300
tensor(2.8250, grad_fn=<MeanBackward1>) 44400
tensor(0.9592, grad_fn=<MeanBackward1>) 44500
tensor(3.4558, grad_fn=<MeanBackward1>) 44600
tensor(1.2808, grad_fn=<MeanBackward1>) 44700
tensor(4.6795, grad_fn=<MeanBackward1>) 44800
tensor(1.0616, grad_fn=<MeanBackward1>) 44900
tensor(0.8450, grad_fn=<MeanBackward1>) 45000
tensor(1.6517, grad_fn=<MeanBackward1>) 45100
tensor(0.9330, grad_fn=<MeanBackward1>) 45200
tensor(1.5819, grad_fn=<MeanBackward1>) 45300
tensor(1.6891, grad_fn=<MeanBackward1>) 45400
tensor(0.9431, grad_fn=<MeanBackward1>) 45500
tensor(2.1939, grad_fn=<MeanBackward1>) 45600
tensor(9.6438, grad_fn=<MeanBackward1>) 45700
