Loading miniconda version 22.11.1-1
Sequential(
  (0): Linear(in_features=3, out_features=32, bias=True)
  (1): GELU(approximate='none')
  (2): Linear(in_features=32, out_features=32, bias=True)
  (3): GELU(approximate='none')
  (4): Linear(in_features=32, out_features=32, bias=True)
  (5): GELU(approximate='none')
  (6): Linear(in_features=32, out_features=32, bias=True)
  (7): GELU(approximate='none')
  (8): Linear(in_features=32, out_features=32, bias=True)
  (9): GELU(approximate='none')
  (10): Linear(in_features=32, out_features=32, bias=True)
  (11): GELU(approximate='none')
  (12): Linear(in_features=32, out_features=32, bias=True)
  (13): GELU(approximate='none')
  (14): Linear(in_features=32, out_features=2, bias=True)
)
tensor(2.0018, grad_fn=<MeanBackward1>) 0
tensor(1.2659, grad_fn=<MeanBackward1>) 7400
tensor(1.2321, grad_fn=<MeanBackward1>) 7500
tensor(3.3500, grad_fn=<MeanBackward1>) 7600
tensor(1.4746, grad_fn=<MeanBackward1>) 7700
tensor(0.7194, grad_fn=<MeanBackward1>) 7800
tensor(2.6221, grad_fn=<MeanBackward1>) 7900
tensor(2.7281, grad_fn=<MeanBackward1>) 8000
tensor(1.2028, grad_fn=<MeanBackward1>) 8100
tensor(3.1953, grad_fn=<MeanBackward1>) 8200
tensor(2.2836, grad_fn=<MeanBackward1>) 8300
tensor(0.8827, grad_fn=<MeanBackward1>) 8400
tensor(1.0976, grad_fn=<MeanBackward1>) 8500
tensor(2.4270, grad_fn=<MeanBackward1>) 8600
tensor(0.7459, grad_fn=<MeanBackward1>) 8700
tensor(2.5116, grad_fn=<MeanBackward1>) 8800
tensor(1.5718, grad_fn=<MeanBackward1>) 8900
tensor(1.3882, grad_fn=<MeanBackward1>) 9000
tensor(1.5099, grad_fn=<MeanBackward1>) 9100
tensor(0.9698, grad_fn=<MeanBackward1>) 9200
tensor(1.0375, grad_fn=<MeanBackward1>) 9300
tensor(1.1560, grad_fn=<MeanBackward1>) 9400
tensor(2.3622, grad_fn=<MeanBackward1>) 9500
tensor(2.6261, grad_fn=<MeanBackward1>) 9600
tensor(1.3428, grad_fn=<MeanBackward1>) 9700
tensor(1.0809, grad_fn=<MeanBackward1>) 9800
tensor(1.6702, grad_fn=<MeanBackward1>) 9900
tensor(1.0630, grad_fn=<MeanBackward1>) 10000
tensor(1.5705, grad_fn=<MeanBackward1>) 10100
tensor(2.4056, grad_fn=<MeanBackward1>) 10200
tensor(1.8350, grad_fn=<MeanBackward1>) 10300
tensor(0.9803, grad_fn=<MeanBackward1>) 10400
tensor(1.0692, grad_fn=<MeanBackward1>) 10500
tensor(3.5564, grad_fn=<MeanBackward1>) 10600
tensor(1.2114, grad_fn=<MeanBackward1>) 10700
tensor(6.2050, grad_fn=<MeanBackward1>) 10800
tensor(1.9659, grad_fn=<MeanBackward1>) 10900
tensor(1.0063, grad_fn=<MeanBackward1>) 11000
tensor(2.2962, grad_fn=<MeanBackward1>) 11100
tensor(0.9739, grad_fn=<MeanBackward1>) 11200
tensor(3.8903, grad_fn=<MeanBackward1>) 11300
tensor(1.1658, grad_fn=<MeanBackward1>) 11400
tensor(2.4261, grad_fn=<MeanBackward1>) 11500
tensor(1.6463, grad_fn=<MeanBackward1>) 11600
tensor(3.6527, grad_fn=<MeanBackward1>) 11700
tensor(1.1216, grad_fn=<MeanBackward1>) 11800
tensor(1.7409, grad_fn=<MeanBackward1>) 11900
tensor(1.3196, grad_fn=<MeanBackward1>) 12000
tensor(1.0211, grad_fn=<MeanBackward1>) 12100
tensor(3.2414, grad_fn=<MeanBackward1>) 12200
tensor(2.0395, grad_fn=<MeanBackward1>) 12300
tensor(1.6732, grad_fn=<MeanBackward1>) 12400
tensor(1.8044, grad_fn=<MeanBackward1>) 12500
tensor(0.9908, grad_fn=<MeanBackward1>) 12600
tensor(1.1818, grad_fn=<MeanBackward1>) 12700
tensor(1.9400, grad_fn=<MeanBackward1>) 12800
tensor(4.1098, grad_fn=<MeanBackward1>) 12900
tensor(2.1860, grad_fn=<MeanBackward1>) 13000
tensor(2.2663, grad_fn=<MeanBackward1>) 13100
tensor(3.6724, grad_fn=<MeanBackward1>) 13200
tensor(0.9961, grad_fn=<MeanBackward1>) 13300
tensor(1.7683, grad_fn=<MeanBackward1>) 13400
tensor(1.6871, grad_fn=<MeanBackward1>) 13500
tensor(0.7510, grad_fn=<MeanBackward1>) 13600
tensor(0.9505, grad_fn=<MeanBackward1>) 13700
tensor(1.0553, grad_fn=<MeanBackward1>) 13800
tensor(1.2395, grad_fn=<MeanBackward1>) 13900
tensor(8.1420, grad_fn=<MeanBackward1>) 14000
tensor(1.1209, grad_fn=<MeanBackward1>) 14100
tensor(1.0486, grad_fn=<MeanBackward1>) 14200
tensor(1.2559, grad_fn=<MeanBackward1>) 14300
tensor(3.8176, grad_fn=<MeanBackward1>) 14400
tensor(1.3597, grad_fn=<MeanBackward1>) 14500
tensor(6.3994, grad_fn=<MeanBackward1>) 14600
tensor(1.2927, grad_fn=<MeanBackward1>) 14700
tensor(1.9162, grad_fn=<MeanBackward1>) 14800
tensor(2.9565, grad_fn=<MeanBackward1>) 14900
tensor(1.4017, grad_fn=<MeanBackward1>) 15000
tensor(1.2353, grad_fn=<MeanBackward1>) 15100
tensor(0.7926, grad_fn=<MeanBackward1>) 15200
tensor(2.0710, grad_fn=<MeanBackward1>) 15300
tensor(0.8197, grad_fn=<MeanBackward1>) 15400
tensor(2.4714, grad_fn=<MeanBackward1>) 15500
tensor(1.3195, grad_fn=<MeanBackward1>) 15600
tensor(1.4897, grad_fn=<MeanBackward1>) 15700
tensor(1.6175, grad_fn=<MeanBackward1>) 15800
tensor(1.4380, grad_fn=<MeanBackward1>) 15900
tensor(1.9828, grad_fn=<MeanBackward1>) 16000
tensor(3.4156, grad_fn=<MeanBackward1>) 16100
tensor(2.3283, grad_fn=<MeanBackward1>) 16200
tensor(1.2116, grad_fn=<MeanBackward1>) 16300
tensor(1.6284, grad_fn=<MeanBackward1>) 16400
tensor(2.1322, grad_fn=<MeanBackward1>) 16500
tensor(2.0781, grad_fn=<MeanBackward1>) 16600
tensor(1.3569, grad_fn=<MeanBackward1>) 16700
tensor(1.5278, grad_fn=<MeanBackward1>) 16800
tensor(1.2460, grad_fn=<MeanBackward1>) 16900
tensor(1.0729, grad_fn=<MeanBackward1>) 17000
tensor(1.2838, grad_fn=<MeanBackward1>) 17100
tensor(1.3293, grad_fn=<MeanBackward1>) 17200
tensor(1.8308, grad_fn=<MeanBackward1>) 17300
tensor(1.0923, grad_fn=<MeanBackward1>) 17400
tensor(1.0666, grad_fn=<MeanBackward1>) 17500
tensor(1.3585, grad_fn=<MeanBackward1>) 17600
tensor(1.5907, grad_fn=<MeanBackward1>) 17700
tensor(1.1852, grad_fn=<MeanBackward1>) 17800
tensor(1.4323, grad_fn=<MeanBackward1>) 17900
tensor(1.6637, grad_fn=<MeanBackward1>) 18000
tensor(0.7996, grad_fn=<MeanBackward1>) 18100
tensor(1.0163, grad_fn=<MeanBackward1>) 18200
tensor(4.9330, grad_fn=<MeanBackward1>) 18300
tensor(2.7907, grad_fn=<MeanBackward1>) 18400
tensor(1.0935, grad_fn=<MeanBackward1>) 18500
tensor(1.4042, grad_fn=<MeanBackward1>) 18600
tensor(1.1938, grad_fn=<MeanBackward1>) 18700
tensor(3.9492, grad_fn=<MeanBackward1>) 18800
tensor(1.2641, grad_fn=<MeanBackward1>) 18900
tensor(1.0737, grad_fn=<MeanBackward1>) 19000
tensor(0.7922, grad_fn=<MeanBackward1>) 19100
tensor(1.2296, grad_fn=<MeanBackward1>) 19200
tensor(1.0856, grad_fn=<MeanBackward1>) 19300
tensor(1.5036, grad_fn=<MeanBackward1>) 19400
tensor(1.2774, grad_fn=<MeanBackward1>) 19500
tensor(2.4888, grad_fn=<MeanBackward1>) 19600
tensor(3.4736, grad_fn=<MeanBackward1>) 19700
tensor(1.5647, grad_fn=<MeanBackward1>) 19800
tensor(1.4879, grad_fn=<MeanBackward1>) 19900
tensor(0.8475, grad_fn=<MeanBackward1>) 20000
tensor(1.1918, grad_fn=<MeanBackward1>) 20100
tensor(1.1113, grad_fn=<MeanBackward1>) 20200
tensor(2.2953, grad_fn=<MeanBackward1>) 20300
tensor(3.7572, grad_fn=<MeanBackward1>) 20400
tensor(0.5940, grad_fn=<MeanBackward1>) 20500
tensor(1.3663, grad_fn=<MeanBackward1>) 20600
tensor(1.4067, grad_fn=<MeanBackward1>) 20700
tensor(1.0548, grad_fn=<MeanBackward1>) 20800
tensor(2.6839, grad_fn=<MeanBackward1>) 20900
tensor(1.8605, grad_fn=<MeanBackward1>) 21000
tensor(0.9167, grad_fn=<MeanBackward1>) 21100
tensor(1.4326, grad_fn=<MeanBackward1>) 21200
tensor(2.5570, grad_fn=<MeanBackward1>) 21300
tensor(3.9557, grad_fn=<MeanBackward1>) 21400
tensor(2.0554, grad_fn=<MeanBackward1>) 21500
tensor(1.5142, grad_fn=<MeanBackward1>) 21600
tensor(1.0250, grad_fn=<MeanBackward1>) 21700
tensor(1.1250, grad_fn=<MeanBackward1>) 21800
tensor(0.9904, grad_fn=<MeanBackward1>) 21900
tensor(3.1156, grad_fn=<MeanBackward1>) 22000
tensor(1.6269, grad_fn=<MeanBackward1>) 22100
tensor(2.6604, grad_fn=<MeanBackward1>) 22200
tensor(2.6745, grad_fn=<MeanBackward1>) 22300
tensor(2.7165, grad_fn=<MeanBackward1>) 22400
tensor(2.0815, grad_fn=<MeanBackward1>) 22500
tensor(1.3804, grad_fn=<MeanBackward1>) 22600
tensor(1.3509, grad_fn=<MeanBackward1>) 22700
tensor(2.5357, grad_fn=<MeanBackward1>) 22800
tensor(1.9148, grad_fn=<MeanBackward1>) 22900
tensor(1.3059, grad_fn=<MeanBackward1>) 23000
tensor(2.1660, grad_fn=<MeanBackward1>) 23100
tensor(1.5008, grad_fn=<MeanBackward1>) 23200
tensor(1.0757, grad_fn=<MeanBackward1>) 23300
tensor(1.6577, grad_fn=<MeanBackward1>) 23400
tensor(0.8002, grad_fn=<MeanBackward1>) 23500
tensor(1.7708, grad_fn=<MeanBackward1>) 23600
tensor(3.7441, grad_fn=<MeanBackward1>) 23700
tensor(1.7687, grad_fn=<MeanBackward1>) 23800
tensor(0.9771, grad_fn=<MeanBackward1>) 23900
tensor(3.8499, grad_fn=<MeanBackward1>) 24000
tensor(1.7180, grad_fn=<MeanBackward1>) 24100
tensor(1.0337, grad_fn=<MeanBackward1>) 24200
tensor(1.9315, grad_fn=<MeanBackward1>) 24300
tensor(1.1842, grad_fn=<MeanBackward1>) 24400
tensor(0.8955, grad_fn=<MeanBackward1>) 24500
tensor(1.2161, grad_fn=<MeanBackward1>) 24600
tensor(1.3095, grad_fn=<MeanBackward1>) 24700
tensor(1.1021, grad_fn=<MeanBackward1>) 24800
tensor(1.3432, grad_fn=<MeanBackward1>) 24900
tensor(3.6030, grad_fn=<MeanBackward1>) 25000
tensor(0.8507, grad_fn=<MeanBackward1>) 25100
tensor(1.0439, grad_fn=<MeanBackward1>) 25200
tensor(1.5214, grad_fn=<MeanBackward1>) 25300
tensor(3.5031, grad_fn=<MeanBackward1>) 25400
tensor(1.6485, grad_fn=<MeanBackward1>) 25500
tensor(1.2048, grad_fn=<MeanBackward1>) 25600
tensor(1.8969, grad_fn=<MeanBackward1>) 25700
tensor(1.3945, grad_fn=<MeanBackward1>) 25800
tensor(1.6659, grad_fn=<MeanBackward1>) 25900
tensor(1.9960, grad_fn=<MeanBackward1>) 26000
tensor(1.0856, grad_fn=<MeanBackward1>) 26100
tensor(1.6978, grad_fn=<MeanBackward1>) 26200
tensor(0.9917, grad_fn=<MeanBackward1>) 26300
tensor(1.4907, grad_fn=<MeanBackward1>) 26400
tensor(1.1927, grad_fn=<MeanBackward1>) 26500
tensor(1.1381, grad_fn=<MeanBackward1>) 26600
tensor(3.6759, grad_fn=<MeanBackward1>) 26700
tensor(0.9050, grad_fn=<MeanBackward1>) 26800
tensor(1.9029, grad_fn=<MeanBackward1>) 26900
tensor(0.9679, grad_fn=<MeanBackward1>) 27000
tensor(1.4432, grad_fn=<MeanBackward1>) 27100
tensor(1.3000, grad_fn=<MeanBackward1>) 27200
tensor(2.7144, grad_fn=<MeanBackward1>) 27300
tensor(1.0828, grad_fn=<MeanBackward1>) 27400
tensor(2.4666, grad_fn=<MeanBackward1>) 27500
tensor(0.7510, grad_fn=<MeanBackward1>) 27600
tensor(1.1046, grad_fn=<MeanBackward1>) 27700
tensor(1.3116, grad_fn=<MeanBackward1>) 27800
tensor(2.2765, grad_fn=<MeanBackward1>) 27900
tensor(1.2598, grad_fn=<MeanBackward1>) 28000
tensor(0.8270, grad_fn=<MeanBackward1>) 28100
tensor(0.7341, grad_fn=<MeanBackward1>) 28200
tensor(1.3385, grad_fn=<MeanBackward1>) 28300
tensor(2.5471, grad_fn=<MeanBackward1>) 28400
tensor(0.9081, grad_fn=<MeanBackward1>) 28500
tensor(1.9996, grad_fn=<MeanBackward1>) 28600
tensor(5.2444, grad_fn=<MeanBackward1>) 28700
tensor(1.9084, grad_fn=<MeanBackward1>) 28800
tensor(0.9965, grad_fn=<MeanBackward1>) 28900
tensor(1.2383, grad_fn=<MeanBackward1>) 29000
tensor(0.8851, grad_fn=<MeanBackward1>) 29100
tensor(0.7537, grad_fn=<MeanBackward1>) 29200
tensor(1.3252, grad_fn=<MeanBackward1>) 29300
tensor(1.1322, grad_fn=<MeanBackward1>) 29400
tensor(0.9937, grad_fn=<MeanBackward1>) 29500
tensor(1.2512, grad_fn=<MeanBackward1>) 29600
tensor(1.4554, grad_fn=<MeanBackward1>) 29700
tensor(3.7288, grad_fn=<MeanBackward1>) 29800
tensor(1.0422, grad_fn=<MeanBackward1>) 29900
tensor(1.2819, grad_fn=<MeanBackward1>) 30000
tensor(1.6297, grad_fn=<MeanBackward1>) 30100
tensor(0.9943, grad_fn=<MeanBackward1>) 30200
tensor(1.4627, grad_fn=<MeanBackward1>) 30300
tensor(2.6279, grad_fn=<MeanBackward1>) 30400
tensor(1.4116, grad_fn=<MeanBackward1>) 30500
tensor(1.1372, grad_fn=<MeanBackward1>) 30600
tensor(1.9061, grad_fn=<MeanBackward1>) 30700
tensor(1.8660, grad_fn=<MeanBackward1>) 30800
tensor(1.5135, grad_fn=<MeanBackward1>) 30900
tensor(2.2867, grad_fn=<MeanBackward1>) 31000
tensor(1.0253, grad_fn=<MeanBackward1>) 31100
tensor(1.2363, grad_fn=<MeanBackward1>) 31200
tensor(0.9486, grad_fn=<MeanBackward1>) 31300
tensor(1.3045, grad_fn=<MeanBackward1>) 31400
tensor(1.5025, grad_fn=<MeanBackward1>) 31500
tensor(0.9240, grad_fn=<MeanBackward1>) 31600
tensor(1.3175, grad_fn=<MeanBackward1>) 31700
tensor(0.9602, grad_fn=<MeanBackward1>) 31800
tensor(2.5009, grad_fn=<MeanBackward1>) 31900
tensor(1.6345, grad_fn=<MeanBackward1>) 32000
tensor(0.8807, grad_fn=<MeanBackward1>) 32100
tensor(1.5797, grad_fn=<MeanBackward1>) 32200
tensor(0.6916, grad_fn=<MeanBackward1>) 32300
tensor(1.6086, grad_fn=<MeanBackward1>) 32400
tensor(1.7024, grad_fn=<MeanBackward1>) 32500
tensor(1.3635, grad_fn=<MeanBackward1>) 32600
tensor(1.0730, grad_fn=<MeanBackward1>) 32700
tensor(2.0813, grad_fn=<MeanBackward1>) 32800
tensor(1.4855, grad_fn=<MeanBackward1>) 32900
tensor(1.0072, grad_fn=<MeanBackward1>) 33000
tensor(1.3768, grad_fn=<MeanBackward1>) 33100
tensor(0.7017, grad_fn=<MeanBackward1>) 33200
tensor(5.3728, grad_fn=<MeanBackward1>) 33300
tensor(1.0243, grad_fn=<MeanBackward1>) 33400
tensor(1.7203, grad_fn=<MeanBackward1>) 33500
tensor(0.9789, grad_fn=<MeanBackward1>) 33600
tensor(1.3852, grad_fn=<MeanBackward1>) 33700
tensor(1.0705, grad_fn=<MeanBackward1>) 33800
tensor(1.0963, grad_fn=<MeanBackward1>) 33900
tensor(1.2378, grad_fn=<MeanBackward1>) 34000
tensor(2.1007, grad_fn=<MeanBackward1>) 34100
tensor(1.4495, grad_fn=<MeanBackward1>) 34200
tensor(1.4160, grad_fn=<MeanBackward1>) 34300
tensor(0.8529, grad_fn=<MeanBackward1>) 34400
tensor(0.8633, grad_fn=<MeanBackward1>) 34500
tensor(1.4466, grad_fn=<MeanBackward1>) 34600
tensor(1.4142, grad_fn=<MeanBackward1>) 34700
tensor(1.5663, grad_fn=<MeanBackward1>) 34800
tensor(1.3996, grad_fn=<MeanBackward1>) 34900
tensor(1.4512, grad_fn=<MeanBackward1>) 35000
tensor(1.2921, grad_fn=<MeanBackward1>) 35100
tensor(1.0810, grad_fn=<MeanBackward1>) 35200
tensor(2.9137, grad_fn=<MeanBackward1>) 35300
tensor(0.7539, grad_fn=<MeanBackward1>) 35400
tensor(2.3081, grad_fn=<MeanBackward1>) 35500
tensor(1.1056, grad_fn=<MeanBackward1>) 35600
tensor(2.1067, grad_fn=<MeanBackward1>) 35700
tensor(2.2185, grad_fn=<MeanBackward1>) 35800
tensor(0.8728, grad_fn=<MeanBackward1>) 35900
tensor(2.0292, grad_fn=<MeanBackward1>) 36000
tensor(1.6422, grad_fn=<MeanBackward1>) 36100
tensor(1.0849, grad_fn=<MeanBackward1>) 36200
tensor(2.1462, grad_fn=<MeanBackward1>) 36300
tensor(2.1118, grad_fn=<MeanBackward1>) 36400
tensor(1.6894, grad_fn=<MeanBackward1>) 36500
tensor(0.9277, grad_fn=<MeanBackward1>) 36600
tensor(0.8698, grad_fn=<MeanBackward1>) 36700
tensor(1.9780, grad_fn=<MeanBackward1>) 36800
tensor(3.2439, grad_fn=<MeanBackward1>) 36900
tensor(0.7289, grad_fn=<MeanBackward1>) 37000
tensor(5.3277, grad_fn=<MeanBackward1>) 37100
tensor(2.2347, grad_fn=<MeanBackward1>) 37200
tensor(1.2120, grad_fn=<MeanBackward1>) 37300
tensor(1.3564, grad_fn=<MeanBackward1>) 37400
tensor(1.1051, grad_fn=<MeanBackward1>) 37500
tensor(1.3199, grad_fn=<MeanBackward1>) 37600
tensor(5.7617, grad_fn=<MeanBackward1>) 37700
tensor(1.2202, grad_fn=<MeanBackward1>) 37800
tensor(1.4749, grad_fn=<MeanBackward1>) 37900
tensor(4.0593, grad_fn=<MeanBackward1>) 38000
tensor(2.2156, grad_fn=<MeanBackward1>) 38100
tensor(13.6187, grad_fn=<MeanBackward1>) 38200
tensor(1.2801, grad_fn=<MeanBackward1>) 38300
tensor(1.1441, grad_fn=<MeanBackward1>) 38400
tensor(1.6555, grad_fn=<MeanBackward1>) 38500
tensor(1.2985, grad_fn=<MeanBackward1>) 38600
tensor(1.3891, grad_fn=<MeanBackward1>) 38700
tensor(1.2781, grad_fn=<MeanBackward1>) 38800
tensor(0.7951, grad_fn=<MeanBackward1>) 38900
tensor(1.2229, grad_fn=<MeanBackward1>) 39000
tensor(0.6632, grad_fn=<MeanBackward1>) 39100
tensor(1.1998, grad_fn=<MeanBackward1>) 39200
tensor(2.2715, grad_fn=<MeanBackward1>) 39300
tensor(1.0065, grad_fn=<MeanBackward1>) 39400
tensor(0.9264, grad_fn=<MeanBackward1>) 39500
tensor(1.0893, grad_fn=<MeanBackward1>) 39600
tensor(1.0707, grad_fn=<MeanBackward1>) 39700
tensor(1.7356, grad_fn=<MeanBackward1>) 39800
tensor(2.0702, grad_fn=<MeanBackward1>) 39900
tensor(1.1315, grad_fn=<MeanBackward1>) 40000
tensor(0.6487, grad_fn=<MeanBackward1>) 40100
tensor(3.8434, grad_fn=<MeanBackward1>) 40200
tensor(1.3017, grad_fn=<MeanBackward1>) 40300
tensor(1.4014, grad_fn=<MeanBackward1>) 40400
tensor(0.5975, grad_fn=<MeanBackward1>) 40500
tensor(2.0928, grad_fn=<MeanBackward1>) 40600
tensor(1.2498, grad_fn=<MeanBackward1>) 40700
tensor(2.6444, grad_fn=<MeanBackward1>) 40800
tensor(2.0903, grad_fn=<MeanBackward1>) 40900
tensor(0.7498, grad_fn=<MeanBackward1>) 41000
tensor(0.9886, grad_fn=<MeanBackward1>) 41100
tensor(3.2446, grad_fn=<MeanBackward1>) 41200
tensor(1.3798, grad_fn=<MeanBackward1>) 41300
tensor(0.9411, grad_fn=<MeanBackward1>) 41400
tensor(1.7299, grad_fn=<MeanBackward1>) 41500
tensor(1.2533, grad_fn=<MeanBackward1>) 41600
tensor(3.1450, grad_fn=<MeanBackward1>) 41700
tensor(1.2520, grad_fn=<MeanBackward1>) 41800
tensor(1.1822, grad_fn=<MeanBackward1>) 41900
tensor(2.0880, grad_fn=<MeanBackward1>) 42000
tensor(1.8759, grad_fn=<MeanBackward1>) 42100
tensor(1.2571, grad_fn=<MeanBackward1>) 42200
tensor(3.5923, grad_fn=<MeanBackward1>) 42300
tensor(0.9436, grad_fn=<MeanBackward1>) 42400
tensor(2.0635, grad_fn=<MeanBackward1>) 42500
tensor(2.4815, grad_fn=<MeanBackward1>) 42600
tensor(1.0130, grad_fn=<MeanBackward1>) 42700
tensor(1.2063, grad_fn=<MeanBackward1>) 42800
tensor(1.7087, grad_fn=<MeanBackward1>) 42900
tensor(0.7789, grad_fn=<MeanBackward1>) 43000
tensor(1.0345, grad_fn=<MeanBackward1>) 43100
tensor(1.8845, grad_fn=<MeanBackward1>) 43200
tensor(2.2491, grad_fn=<MeanBackward1>) 43300
tensor(1.5595, grad_fn=<MeanBackward1>) 43400
tensor(0.7424, grad_fn=<MeanBackward1>) 43500
tensor(2.6075, grad_fn=<MeanBackward1>) 43600
tensor(0.8736, grad_fn=<MeanBackward1>) 43700
tensor(1.0549, grad_fn=<MeanBackward1>) 43800
tensor(6.5560, grad_fn=<MeanBackward1>) 43900
tensor(1.4383, grad_fn=<MeanBackward1>) 44000
tensor(0.8528, grad_fn=<MeanBackward1>) 44100
tensor(1.2381, grad_fn=<MeanBackward1>) 44200
tensor(2.2309, grad_fn=<MeanBackward1>) 44300
tensor(1.2226, grad_fn=<MeanBackward1>) 44400
tensor(1.1479, grad_fn=<MeanBackward1>) 44500
tensor(0.7862, grad_fn=<MeanBackward1>) 44600
tensor(1.3717, grad_fn=<MeanBackward1>) 44700
tensor(1.3319, grad_fn=<MeanBackward1>) 44800
tensor(1.2396, grad_fn=<MeanBackward1>) 44900
tensor(1.0789, grad_fn=<MeanBackward1>) 45000
tensor(0.7512, grad_fn=<MeanBackward1>) 45100
tensor(1.7084, grad_fn=<MeanBackward1>) 45200
tensor(0.9772, grad_fn=<MeanBackward1>) 45300
tensor(0.9703, grad_fn=<MeanBackward1>) 45400
tensor(0.9103, grad_fn=<MeanBackward1>) 45500
tensor(1.4011, grad_fn=<MeanBackward1>) 45600
tensor(1.1547, grad_fn=<MeanBackward1>) 45700
