Loading miniconda version 22.11.1-1
DenoisingModel(
  (fc1): Linear(in_features=3, out_features=32, bias=True)
  (activation1): cosineact()
  (fc2): Linear(in_features=32, out_features=32, bias=True)
  (activation2): GELU(approximate='none')
  (fc3): Linear(in_features=32, out_features=3, bias=True)
  (activation3): GELU(approximate='none')
  (fc4): Linear(in_features=3, out_features=32, bias=True)
  (activation4): GELU(approximate='none')
  (fc5): Linear(in_features=32, out_features=32, bias=True)
  (activation5): GELU(approximate='none')
  (fc6): Linear(in_features=32, out_features=3, bias=True)
  (activation6): GELU(approximate='none')
  (fc7): Linear(in_features=3, out_features=32, bias=True)
  (activation7): GELU(approximate='none')
  (fc8): Linear(in_features=32, out_features=32, bias=True)
  (activation8): GELU(approximate='none')
  (fc9): Linear(in_features=32, out_features=2, bias=True)
)
tensor(204.9421, grad_fn=<AddBackward0>) 0
tensor(289.3970, grad_fn=<AddBackward0>) 2500
tensor(184.6711, grad_fn=<AddBackward0>) 2600
tensor(324.7748, grad_fn=<AddBackward0>) 2700
tensor(210.8127, grad_fn=<AddBackward0>) 2800
tensor(220.7371, grad_fn=<AddBackward0>) 2900
tensor(235.8075, grad_fn=<AddBackward0>) 3000
tensor(245.7087, grad_fn=<AddBackward0>) 3100
tensor(180.5728, grad_fn=<AddBackward0>) 3200
tensor(339.2281, grad_fn=<AddBackward0>) 3300
tensor(272.3224, grad_fn=<AddBackward0>) 3400
tensor(150.7699, grad_fn=<AddBackward0>) 3500
tensor(229.7107, grad_fn=<AddBackward0>) 3600
tensor(602.0249, grad_fn=<AddBackward0>) 3700
tensor(554.4196, grad_fn=<AddBackward0>) 3800
tensor(284.4810, grad_fn=<AddBackward0>) 3900
tensor(422.9402, grad_fn=<AddBackward0>) 4000
tensor(272.9760, grad_fn=<AddBackward0>) 4100
tensor(394.1662, grad_fn=<AddBackward0>) 4200
tensor(282.3853, grad_fn=<AddBackward0>) 4300
tensor(260.3020, grad_fn=<AddBackward0>) 4400
tensor(151.2881, grad_fn=<AddBackward0>) 4500
tensor(238.0691, grad_fn=<AddBackward0>) 4600
tensor(241.2360, grad_fn=<AddBackward0>) 4700
tensor(286.7047, grad_fn=<AddBackward0>) 4800
tensor(221.5553, grad_fn=<AddBackward0>) 4900
tensor(472.4686, grad_fn=<AddBackward0>) 5000
tensor(153.1207, grad_fn=<AddBackward0>) 5100
tensor(281.2162, grad_fn=<AddBackward0>) 5200
tensor(197.9593, grad_fn=<AddBackward0>) 5300
tensor(260.0612, grad_fn=<AddBackward0>) 5400
tensor(333.2913, grad_fn=<AddBackward0>) 5500
tensor(197.2444, grad_fn=<AddBackward0>) 5600
tensor(370.5002, grad_fn=<AddBackward0>) 5700
tensor(298.9455, grad_fn=<AddBackward0>) 5800
tensor(230.8838, grad_fn=<AddBackward0>) 5900
tensor(279.5483, grad_fn=<AddBackward0>) 6000
tensor(578.6298, grad_fn=<AddBackward0>) 6100
tensor(198.8630, grad_fn=<AddBackward0>) 6200
tensor(373.5912, grad_fn=<AddBackward0>) 6300
tensor(204.7379, grad_fn=<AddBackward0>) 6400
tensor(145.7772, grad_fn=<AddBackward0>) 6500
tensor(296.5861, grad_fn=<AddBackward0>) 6600
tensor(299.6518, grad_fn=<AddBackward0>) 6700
tensor(254.4493, grad_fn=<AddBackward0>) 6800
tensor(177.0569, grad_fn=<AddBackward0>) 6900
tensor(332.2278, grad_fn=<AddBackward0>) 7000
tensor(201.1293, grad_fn=<AddBackward0>) 7100
tensor(335.9534, grad_fn=<AddBackward0>) 7200
tensor(173.1508, grad_fn=<AddBackward0>) 7300
tensor(272.2292, grad_fn=<AddBackward0>) 7400
tensor(192.0112, grad_fn=<AddBackward0>) 7500
tensor(205.5842, grad_fn=<AddBackward0>) 7600
tensor(230.6720, grad_fn=<AddBackward0>) 7700
tensor(267.4336, grad_fn=<AddBackward0>) 7800
tensor(160.1559, grad_fn=<AddBackward0>) 7900
tensor(220.7459, grad_fn=<AddBackward0>) 8000
tensor(390.6049, grad_fn=<AddBackward0>) 8100
tensor(313.9783, grad_fn=<AddBackward0>) 8200
tensor(180.8469, grad_fn=<AddBackward0>) 8300
tensor(356.6478, grad_fn=<AddBackward0>) 8400
tensor(243.9252, grad_fn=<AddBackward0>) 8500
tensor(162.3938, grad_fn=<AddBackward0>) 8600
tensor(167.7625, grad_fn=<AddBackward0>) 8700
tensor(185.6825, grad_fn=<AddBackward0>) 8800
tensor(174.8662, grad_fn=<AddBackward0>) 8900
tensor(393.6428, grad_fn=<AddBackward0>) 9000
tensor(226.2893, grad_fn=<AddBackward0>) 9100
tensor(360.1490, grad_fn=<AddBackward0>) 9200
tensor(331.5957, grad_fn=<AddBackward0>) 9300
tensor(278.2844, grad_fn=<AddBackward0>) 9400
tensor(193.2232, grad_fn=<AddBackward0>) 9500
tensor(287.2759, grad_fn=<AddBackward0>) 9600
tensor(240.4216, grad_fn=<AddBackward0>) 9700
tensor(238.7710, grad_fn=<AddBackward0>) 9800
tensor(283.4459, grad_fn=<AddBackward0>) 9900
tensor(284.7854, grad_fn=<AddBackward0>) 10000
tensor(307.0036, grad_fn=<AddBackward0>) 10100
tensor(251.7967, grad_fn=<AddBackward0>) 10200
tensor(285.5118, grad_fn=<AddBackward0>) 10300
tensor(232.3510, grad_fn=<AddBackward0>) 10400
tensor(236.9020, grad_fn=<AddBackward0>) 10500
tensor(168.4619, grad_fn=<AddBackward0>) 10600
tensor(195.1952, grad_fn=<AddBackward0>) 10700
tensor(409.1094, grad_fn=<AddBackward0>) 10800
tensor(264.7802, grad_fn=<AddBackward0>) 10900
tensor(263.2987, grad_fn=<AddBackward0>) 11000
tensor(249.2989, grad_fn=<AddBackward0>) 11100
tensor(227.8168, grad_fn=<AddBackward0>) 11200
tensor(407.0918, grad_fn=<AddBackward0>) 11300
tensor(289.6901, grad_fn=<AddBackward0>) 11400
tensor(333.0678, grad_fn=<AddBackward0>) 11500
tensor(272.8798, grad_fn=<AddBackward0>) 11600
tensor(248.0464, grad_fn=<AddBackward0>) 11700
tensor(278.6404, grad_fn=<AddBackward0>) 11800
tensor(294.2460, grad_fn=<AddBackward0>) 11900
tensor(255.9471, grad_fn=<AddBackward0>) 12000
tensor(191.0308, grad_fn=<AddBackward0>) 12100
tensor(531.2556, grad_fn=<AddBackward0>) 12200
tensor(273.8062, grad_fn=<AddBackward0>) 12300
tensor(237.5031, grad_fn=<AddBackward0>) 12400
tensor(215.9390, grad_fn=<AddBackward0>) 12500
tensor(308.1778, grad_fn=<AddBackward0>) 12600
tensor(341.2755, grad_fn=<AddBackward0>) 12700
tensor(445.9335, grad_fn=<AddBackward0>) 12800
tensor(489.1068, grad_fn=<AddBackward0>) 12900
tensor(177.9082, grad_fn=<AddBackward0>) 13000
tensor(128.9947, grad_fn=<AddBackward0>) 13100
tensor(467.1676, grad_fn=<AddBackward0>) 13200
tensor(297.7731, grad_fn=<AddBackward0>) 13300
tensor(258.0591, grad_fn=<AddBackward0>) 13400
tensor(200.4543, grad_fn=<AddBackward0>) 13500
tensor(238.3219, grad_fn=<AddBackward0>) 13600
tensor(307.9093, grad_fn=<AddBackward0>) 13700
tensor(172.6424, grad_fn=<AddBackward0>) 13800
tensor(199.1486, grad_fn=<AddBackward0>) 13900
tensor(210.1910, grad_fn=<AddBackward0>) 14000
tensor(296.4095, grad_fn=<AddBackward0>) 14100
tensor(353.0122, grad_fn=<AddBackward0>) 14200
tensor(258.2079, grad_fn=<AddBackward0>) 14300
tensor(298.4812, grad_fn=<AddBackward0>) 14400
tensor(171.4814, grad_fn=<AddBackward0>) 14500
tensor(213.1566, grad_fn=<AddBackward0>) 14600
tensor(427.6206, grad_fn=<AddBackward0>) 14700
tensor(319.1838, grad_fn=<AddBackward0>) 14800
tensor(162.0178, grad_fn=<AddBackward0>) 14900
tensor(382.3121, grad_fn=<AddBackward0>) 15000
tensor(308.4393, grad_fn=<AddBackward0>) 15100
tensor(366.1801, grad_fn=<AddBackward0>) 15200
tensor(325.6436, grad_fn=<AddBackward0>) 15300
tensor(225.0075, grad_fn=<AddBackward0>) 15400
tensor(433.0425, grad_fn=<AddBackward0>) 15500
tensor(275.1648, grad_fn=<AddBackward0>) 15600
tensor(177.6364, grad_fn=<AddBackward0>) 15700
tensor(292.0335, grad_fn=<AddBackward0>) 15800
tensor(232.8474, grad_fn=<AddBackward0>) 15900
tensor(233.7811, grad_fn=<AddBackward0>) 16000
tensor(435.5033, grad_fn=<AddBackward0>) 16100
tensor(179.3976, grad_fn=<AddBackward0>) 16200
tensor(156.7784, grad_fn=<AddBackward0>) 16300
tensor(258.7722, grad_fn=<AddBackward0>) 16400
tensor(189.8477, grad_fn=<AddBackward0>) 16500
tensor(269.2672, grad_fn=<AddBackward0>) 16600
tensor(221.9745, grad_fn=<AddBackward0>) 16700
tensor(176.1937, grad_fn=<AddBackward0>) 16800
tensor(174.2359, grad_fn=<AddBackward0>) 16900
tensor(210.3750, grad_fn=<AddBackward0>) 17000
tensor(162.6686, grad_fn=<AddBackward0>) 17100
tensor(191.8171, grad_fn=<AddBackward0>) 17200
tensor(293.9637, grad_fn=<AddBackward0>) 17300
tensor(231.2551, grad_fn=<AddBackward0>) 17400
tensor(672.3268, grad_fn=<AddBackward0>) 17500
tensor(230.2190, grad_fn=<AddBackward0>) 17600
tensor(322.3480, grad_fn=<AddBackward0>) 17700
tensor(261.7149, grad_fn=<AddBackward0>) 17800
tensor(389.5576, grad_fn=<AddBackward0>) 17900
tensor(168.8330, grad_fn=<AddBackward0>) 18000
tensor(184.2104, grad_fn=<AddBackward0>) 18100
tensor(176.1889, grad_fn=<AddBackward0>) 18200
tensor(172.4716, grad_fn=<AddBackward0>) 18300
tensor(210.0499, grad_fn=<AddBackward0>) 18400
tensor(178.2012, grad_fn=<AddBackward0>) 18500
tensor(233.0552, grad_fn=<AddBackward0>) 18600
tensor(170.0045, grad_fn=<AddBackward0>) 18700
tensor(288.7701, grad_fn=<AddBackward0>) 18800
tensor(246.1813, grad_fn=<AddBackward0>) 18900
tensor(179.1685, grad_fn=<AddBackward0>) 19000
tensor(184.2404, grad_fn=<AddBackward0>) 19100
tensor(383.1487, grad_fn=<AddBackward0>) 19200
tensor(196.2618, grad_fn=<AddBackward0>) 19300
tensor(219.5627, grad_fn=<AddBackward0>) 19400
tensor(254.3794, grad_fn=<AddBackward0>) 19500
tensor(544.7788, grad_fn=<AddBackward0>) 19600
tensor(320.0112, grad_fn=<AddBackward0>) 19700
tensor(265.3625, grad_fn=<AddBackward0>) 19800
tensor(195.6446, grad_fn=<AddBackward0>) 19900
tensor(212.4268, grad_fn=<AddBackward0>) 20000
tensor(262.8779, grad_fn=<AddBackward0>) 20100
tensor(202.6379, grad_fn=<AddBackward0>) 20200
tensor(182.6683, grad_fn=<AddBackward0>) 20300
tensor(250.9648, grad_fn=<AddBackward0>) 20400
tensor(364.1752, grad_fn=<AddBackward0>) 20500
tensor(266.6366, grad_fn=<AddBackward0>) 20600
tensor(236.1016, grad_fn=<AddBackward0>) 20700
tensor(136.1544, grad_fn=<AddBackward0>) 20800
tensor(179.0490, grad_fn=<AddBackward0>) 20900
tensor(213.6146, grad_fn=<AddBackward0>) 21000
tensor(381.9124, grad_fn=<AddBackward0>) 21100
tensor(286.0790, grad_fn=<AddBackward0>) 21200
tensor(211.9182, grad_fn=<AddBackward0>) 21300
tensor(188.3105, grad_fn=<AddBackward0>) 21400
tensor(445.2446, grad_fn=<AddBackward0>) 21500
tensor(273.7003, grad_fn=<AddBackward0>) 21600
tensor(285.1604, grad_fn=<AddBackward0>) 21700
tensor(291.4220, grad_fn=<AddBackward0>) 21800
tensor(139.0617, grad_fn=<AddBackward0>) 21900
tensor(309.2618, grad_fn=<AddBackward0>) 22000
tensor(398.4721, grad_fn=<AddBackward0>) 22100
tensor(361.0134, grad_fn=<AddBackward0>) 22200
tensor(211.1877, grad_fn=<AddBackward0>) 22300
tensor(287.4459, grad_fn=<AddBackward0>) 22400
tensor(193.0966, grad_fn=<AddBackward0>) 22500
tensor(184.8747, grad_fn=<AddBackward0>) 22600
tensor(241.9786, grad_fn=<AddBackward0>) 22700
tensor(277.4967, grad_fn=<AddBackward0>) 22800
tensor(406.2703, grad_fn=<AddBackward0>) 22900
tensor(168.0781, grad_fn=<AddBackward0>) 23000
tensor(296.6385, grad_fn=<AddBackward0>) 23100
tensor(300.0044, grad_fn=<AddBackward0>) 23200
tensor(323.4428, grad_fn=<AddBackward0>) 23300
tensor(268.2568, grad_fn=<AddBackward0>) 23400
tensor(266.5807, grad_fn=<AddBackward0>) 23500
tensor(329.7935, grad_fn=<AddBackward0>) 23600
tensor(284.3470, grad_fn=<AddBackward0>) 23700
tensor(344.8119, grad_fn=<AddBackward0>) 23800
tensor(214.5046, grad_fn=<AddBackward0>) 23900
tensor(286.3593, grad_fn=<AddBackward0>) 24000
tensor(224.3073, grad_fn=<AddBackward0>) 24100
tensor(201.5540, grad_fn=<AddBackward0>) 24200
tensor(275.5867, grad_fn=<AddBackward0>) 24300
tensor(164.8033, grad_fn=<AddBackward0>) 24400
tensor(258.1172, grad_fn=<AddBackward0>) 24500
tensor(421.6159, grad_fn=<AddBackward0>) 24600
tensor(401.0363, grad_fn=<AddBackward0>) 24700
tensor(368.8087, grad_fn=<AddBackward0>) 24800
tensor(216.0109, grad_fn=<AddBackward0>) 24900
tensor(155.6830, grad_fn=<AddBackward0>) 25000
tensor(292.3268, grad_fn=<AddBackward0>) 25100
tensor(258.5763, grad_fn=<AddBackward0>) 25200
tensor(327.5988, grad_fn=<AddBackward0>) 25300
tensor(376.1097, grad_fn=<AddBackward0>) 25400
tensor(196.4260, grad_fn=<AddBackward0>) 25500
tensor(251.5920, grad_fn=<AddBackward0>) 25600
tensor(272.9728, grad_fn=<AddBackward0>) 25700
tensor(225.1617, grad_fn=<AddBackward0>) 25800
tensor(244.9105, grad_fn=<AddBackward0>) 25900
tensor(237.5223, grad_fn=<AddBackward0>) 26000
tensor(147.5225, grad_fn=<AddBackward0>) 26100
tensor(284.3952, grad_fn=<AddBackward0>) 26200
tensor(171.5236, grad_fn=<AddBackward0>) 26300
tensor(221.8823, grad_fn=<AddBackward0>) 26400
tensor(230.0979, grad_fn=<AddBackward0>) 26500
tensor(222.5504, grad_fn=<AddBackward0>) 26600
tensor(296.7256, grad_fn=<AddBackward0>) 26700
tensor(185.8803, grad_fn=<AddBackward0>) 26800
tensor(300.2122, grad_fn=<AddBackward0>) 26900
tensor(298.8206, grad_fn=<AddBackward0>) 27000
tensor(228.1940, grad_fn=<AddBackward0>) 27100
tensor(310.2007, grad_fn=<AddBackward0>) 27200
tensor(224.6264, grad_fn=<AddBackward0>) 27300
tensor(317.7343, grad_fn=<AddBackward0>) 27400
tensor(222.2601, grad_fn=<AddBackward0>) 27500
tensor(281.1805, grad_fn=<AddBackward0>) 27600
tensor(236.4146, grad_fn=<AddBackward0>) 27700
tensor(283.8839, grad_fn=<AddBackward0>) 27800
tensor(268.8302, grad_fn=<AddBackward0>) 27900
tensor(279.4061, grad_fn=<AddBackward0>) 28000
tensor(243.6979, grad_fn=<AddBackward0>) 28100
tensor(239.2430, grad_fn=<AddBackward0>) 28200
tensor(205.7953, grad_fn=<AddBackward0>) 28300
tensor(232.0007, grad_fn=<AddBackward0>) 28400
tensor(326.3791, grad_fn=<AddBackward0>) 28500
tensor(167.0623, grad_fn=<AddBackward0>) 28600
tensor(293.9522, grad_fn=<AddBackward0>) 28700
tensor(344.1620, grad_fn=<AddBackward0>) 28800
tensor(296.1440, grad_fn=<AddBackward0>) 28900
tensor(429.3328, grad_fn=<AddBackward0>) 29000
tensor(274.8411, grad_fn=<AddBackward0>) 29100
tensor(212.6011, grad_fn=<AddBackward0>) 29200
tensor(321.5404, grad_fn=<AddBackward0>) 29300
tensor(414.7465, grad_fn=<AddBackward0>) 29400
tensor(216.0271, grad_fn=<AddBackward0>) 29500
tensor(338.8083, grad_fn=<AddBackward0>) 29600
tensor(549.6744, grad_fn=<AddBackward0>) 29700
tensor(291.2856, grad_fn=<AddBackward0>) 29800
tensor(292.0199, grad_fn=<AddBackward0>) 29900
tensor(264.1220, grad_fn=<AddBackward0>) 30000
tensor(294.1951, grad_fn=<AddBackward0>) 30100
tensor(150.5042, grad_fn=<AddBackward0>) 30200
tensor(385.9519, grad_fn=<AddBackward0>) 30300
tensor(259.9536, grad_fn=<AddBackward0>) 30400
tensor(198.2952, grad_fn=<AddBackward0>) 30500
tensor(366.8508, grad_fn=<AddBackward0>) 30600
tensor(278.3601, grad_fn=<AddBackward0>) 30700
tensor(172.4197, grad_fn=<AddBackward0>) 30800
tensor(312.4393, grad_fn=<AddBackward0>) 30900
tensor(250.5367, grad_fn=<AddBackward0>) 31000
tensor(242.4922, grad_fn=<AddBackward0>) 31100
tensor(164.7687, grad_fn=<AddBackward0>) 31200
tensor(307.4454, grad_fn=<AddBackward0>) 31300
tensor(380.7974, grad_fn=<AddBackward0>) 31400
tensor(384.7303, grad_fn=<AddBackward0>) 31500
tensor(177.1622, grad_fn=<AddBackward0>) 31600
tensor(325.6985, grad_fn=<AddBackward0>) 31700
tensor(260.2319, grad_fn=<AddBackward0>) 31800
tensor(173.5532, grad_fn=<AddBackward0>) 31900
tensor(317.2325, grad_fn=<AddBackward0>) 32000
tensor(159.9528, grad_fn=<AddBackward0>) 32100
tensor(453.0022, grad_fn=<AddBackward0>) 32200
tensor(294.9979, grad_fn=<AddBackward0>) 32300
tensor(177.3277, grad_fn=<AddBackward0>) 32400
tensor(208.8743, grad_fn=<AddBackward0>) 32500
tensor(241.0043, grad_fn=<AddBackward0>) 32600
tensor(258.5620, grad_fn=<AddBackward0>) 32700
tensor(403.8536, grad_fn=<AddBackward0>) 32800
tensor(284.8007, grad_fn=<AddBackward0>) 32900
tensor(162.3045, grad_fn=<AddBackward0>) 33000
tensor(254.8695, grad_fn=<AddBackward0>) 33100
tensor(187.2582, grad_fn=<AddBackward0>) 33200
tensor(235.4131, grad_fn=<AddBackward0>) 33300
tensor(320.7805, grad_fn=<AddBackward0>) 33400
tensor(177.1140, grad_fn=<AddBackward0>) 33500
tensor(305.0635, grad_fn=<AddBackward0>) 33600
tensor(197.1017, grad_fn=<AddBackward0>) 33700
tensor(434.2617, grad_fn=<AddBackward0>) 33800
tensor(245.7422, grad_fn=<AddBackward0>) 33900
tensor(234.0089, grad_fn=<AddBackward0>) 34000
tensor(258.9406, grad_fn=<AddBackward0>) 34100
tensor(264.9470, grad_fn=<AddBackward0>) 34200
tensor(329.1380, grad_fn=<AddBackward0>) 34300
tensor(226.5045, grad_fn=<AddBackward0>) 34400
tensor(240.5062, grad_fn=<AddBackward0>) 34500
tensor(168.5591, grad_fn=<AddBackward0>) 34600
tensor(207.8438, grad_fn=<AddBackward0>) 34700
tensor(335.8350, grad_fn=<AddBackward0>) 34800
tensor(180.2786, grad_fn=<AddBackward0>) 34900
tensor(245.0613, grad_fn=<AddBackward0>) 35000
tensor(330.4587, grad_fn=<AddBackward0>) 35100
tensor(259.5493, grad_fn=<AddBackward0>) 35200
tensor(251.8031, grad_fn=<AddBackward0>) 35300
tensor(342.0150, grad_fn=<AddBackward0>) 35400
tensor(276.1554, grad_fn=<AddBackward0>) 35500
tensor(246.0793, grad_fn=<AddBackward0>) 35600
tensor(342.2875, grad_fn=<AddBackward0>) 35700
tensor(222.3078, grad_fn=<AddBackward0>) 35800
tensor(232.0977, grad_fn=<AddBackward0>) 35900
tensor(181.2377, grad_fn=<AddBackward0>) 36000
tensor(186.2943, grad_fn=<AddBackward0>) 36100
tensor(245.9473, grad_fn=<AddBackward0>) 36200
tensor(337.2520, grad_fn=<AddBackward0>) 36300
tensor(247.9225, grad_fn=<AddBackward0>) 36400
tensor(252.8834, grad_fn=<AddBackward0>) 36500
tensor(279.4036, grad_fn=<AddBackward0>) 36600
tensor(295.8841, grad_fn=<AddBackward0>) 36700
tensor(328.6494, grad_fn=<AddBackward0>) 36800
tensor(322.2311, grad_fn=<AddBackward0>) 36900
tensor(202.9033, grad_fn=<AddBackward0>) 37000
tensor(249.3219, grad_fn=<AddBackward0>) 37100
tensor(579.1051, grad_fn=<AddBackward0>) 37200
tensor(221.8054, grad_fn=<AddBackward0>) 37300
tensor(222.0754, grad_fn=<AddBackward0>) 37400
tensor(269.9722, grad_fn=<AddBackward0>) 37500
tensor(346.9266, grad_fn=<AddBackward0>) 37600
tensor(225.2224, grad_fn=<AddBackward0>) 37700
tensor(281.6563, grad_fn=<AddBackward0>) 37800
tensor(169.7006, grad_fn=<AddBackward0>) 37900
tensor(211.9754, grad_fn=<AddBackward0>) 38000
tensor(269.2672, grad_fn=<AddBackward0>) 38100
tensor(379.9478, grad_fn=<AddBackward0>) 38200
tensor(409.4825, grad_fn=<AddBackward0>) 38300
tensor(230.0159, grad_fn=<AddBackward0>) 38400
tensor(268.4001, grad_fn=<AddBackward0>) 38500
tensor(272.9590, grad_fn=<AddBackward0>) 38600
tensor(490.3185, grad_fn=<AddBackward0>) 38700
tensor(391.5367, grad_fn=<AddBackward0>) 38800
tensor(153.2587, grad_fn=<AddBackward0>) 38900
tensor(159.8093, grad_fn=<AddBackward0>) 39000
tensor(310.0088, grad_fn=<AddBackward0>) 39100
tensor(284.0847, grad_fn=<AddBackward0>) 39200
tensor(376.3816, grad_fn=<AddBackward0>) 39300
tensor(312.8076, grad_fn=<AddBackward0>) 39400
tensor(155.4967, grad_fn=<AddBackward0>) 39500
tensor(373.6534, grad_fn=<AddBackward0>) 39600
tensor(266.7745, grad_fn=<AddBackward0>) 39700
tensor(344.8672, grad_fn=<AddBackward0>) 39800
tensor(234.0334, grad_fn=<AddBackward0>) 39900
tensor(255.3259, grad_fn=<AddBackward0>) 40000
tensor(304.0416, grad_fn=<AddBackward0>) 40100
tensor(209.1434, grad_fn=<AddBackward0>) 40200
tensor(200.1496, grad_fn=<AddBackward0>) 40300
tensor(245.4524, grad_fn=<AddBackward0>) 40400
tensor(245.3891, grad_fn=<AddBackward0>) 40500
tensor(268.6456, grad_fn=<AddBackward0>) 40600
tensor(273.6165, grad_fn=<AddBackward0>) 40700
tensor(414.6986, grad_fn=<AddBackward0>) 40800
tensor(186.4037, grad_fn=<AddBackward0>) 40900
tensor(267.8356, grad_fn=<AddBackward0>) 41000
tensor(207.2448, grad_fn=<AddBackward0>) 41100
tensor(226.4277, grad_fn=<AddBackward0>) 41200
tensor(175.3376, grad_fn=<AddBackward0>) 41300
tensor(280.6249, grad_fn=<AddBackward0>) 41400
tensor(289.6775, grad_fn=<AddBackward0>) 41500
tensor(361.5825, grad_fn=<AddBackward0>) 41600
tensor(304.0552, grad_fn=<AddBackward0>) 41700
tensor(194.0265, grad_fn=<AddBackward0>) 41800
tensor(157.8155, grad_fn=<AddBackward0>) 41900
tensor(262.3824, grad_fn=<AddBackward0>) 42000
tensor(186.3910, grad_fn=<AddBackward0>) 42100
tensor(168.3252, grad_fn=<AddBackward0>) 42200
tensor(347.9499, grad_fn=<AddBackward0>) 42300
tensor(269.4699, grad_fn=<AddBackward0>) 42400
tensor(228.6564, grad_fn=<AddBackward0>) 42500
tensor(143.1910, grad_fn=<AddBackward0>) 42600
tensor(170.2574, grad_fn=<AddBackward0>) 42700
tensor(184.3427, grad_fn=<AddBackward0>) 42800
tensor(300.1917, grad_fn=<AddBackward0>) 42900
tensor(340.6636, grad_fn=<AddBackward0>) 43000
tensor(191.4522, grad_fn=<AddBackward0>) 43100
tensor(194.2059, grad_fn=<AddBackward0>) 43200
tensor(304.9755, grad_fn=<AddBackward0>) 43300
tensor(377.9361, grad_fn=<AddBackward0>) 43400
tensor(253.8698, grad_fn=<AddBackward0>) 43500
tensor(193.3037, grad_fn=<AddBackward0>) 43600
tensor(186.3912, grad_fn=<AddBackward0>) 43700
tensor(299.0755, grad_fn=<AddBackward0>) 43800
tensor(522.3652, grad_fn=<AddBackward0>) 43900
tensor(522.5263, grad_fn=<AddBackward0>) 44000
tensor(235.1362, grad_fn=<AddBackward0>) 44100
tensor(226.5222, grad_fn=<AddBackward0>) 44200
tensor(231.7223, grad_fn=<AddBackward0>) 44300
tensor(202.9183, grad_fn=<AddBackward0>) 44400
tensor(179.1072, grad_fn=<AddBackward0>) 44500
tensor(262.3522, grad_fn=<AddBackward0>) 44600
tensor(258.1823, grad_fn=<AddBackward0>) 44700
tensor(178.3533, grad_fn=<AddBackward0>) 44800
tensor(261.8664, grad_fn=<AddBackward0>) 44900
tensor(239.2585, grad_fn=<AddBackward0>) 45000
tensor(310.8632, grad_fn=<AddBackward0>) 45100
tensor(296.0031, grad_fn=<AddBackward0>) 45200
tensor(183.7447, grad_fn=<AddBackward0>) 45300
tensor(333.0890, grad_fn=<AddBackward0>) 45400
tensor(299.3679, grad_fn=<AddBackward0>) 45500
tensor(297.9952, grad_fn=<AddBackward0>) 45600
tensor(223.6985, grad_fn=<AddBackward0>) 45700
tensor(231.8456, grad_fn=<AddBackward0>) 45800
tensor(224.9511, grad_fn=<AddBackward0>) 45900
tensor(236.5319, grad_fn=<AddBackward0>) 46000
tensor(212.1690, grad_fn=<AddBackward0>) 46100
tensor(312.5133, grad_fn=<AddBackward0>) 46200
tensor(417.4485, grad_fn=<AddBackward0>) 46300
tensor(258.5186, grad_fn=<AddBackward0>) 46400
tensor(263.6892, grad_fn=<AddBackward0>) 46500
tensor(404.7506, grad_fn=<AddBackward0>) 46600
tensor(207.5603, grad_fn=<AddBackward0>) 46700
tensor(207.2340, grad_fn=<AddBackward0>) 46800
tensor(184.2729, grad_fn=<AddBackward0>) 46900
